Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,OBJECTID
"2018500293918","330300","99004",-2.990129,50.786389,"50","2","2","3",08/05/2018,"3",13:39:00,"580",E10000008,"3","358","6","30","3","4","6","0","0","0","1","1","1","0","0","2","1",E01019886,"442"
"2018500309222","330705","100006",-2.984574,50.795447,"50","3","2","1",15/06/2018,"6",22:20:00,"580",E10000008,"6","0","6","60","0","-1","-1","0","0","0","1","2","1","0","0","2","1",E01019886,"442"
"2018500321503","330359","99103",-2.989311,50.787287,"50","3","2","1",14/08/2018,"3",20:00:00,"580",E10000008,"6","0","6","30","9","4","3","358","0","0","1","9","1","0","0","2","2",E01019886,"442"
"2018500802155","330270","98926",-2.99054,50.785685,"50","3","1","1",10/11/2018,"7",11:44:00,"580",E10000008,"3","358","6","30","0","-1","-1","0","0","8","1","2","2","0","0","2","1",E01019886,"442"
"2018500300701","332474","96675",-2.958865,50.765706,"50","3","1","1",03/06/2018,"1",12:18:00,"580",E10000008,"4","3165","6","30","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019886,"443"
"2018500302071","331818","96314",-2.968098,50.762383,"50","3","2","1",28/05/2018,"2",16:37:00,"580",E10000008,"3","35","6","60","3","4","6","0","0","0","1","1","1","0","0","2","1",E01019886,"443"
"2018500309287","330997","97356",-2.979933,50.771655,"50","3","1","1",16/06/2018,"7",08:44:00,"580",E10000008,"4","3261","3","30","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019886,"443"
"2018500320896","332998","102120",-2.95243,50.814726,"50","3","2","1",03/08/2018,"6",13:40:00,"580",E10000008,"6","0","6","60","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019886,"444"
"2018500330627","335133","98605",-2.921506,50.783364,"50","3","1","1",11/08/2018,"7",12:05:00,"580",E10000008,"4","3165","6","60","0","-1","-1","0","0","0","1","2","2","5","0","2","1",E01019886,"444"
"2018500284659","299697","84872",-3.420298,50.65485,"50","3","3","1",25/03/2018,"1",18:39:00,"580",E10000008,"3","376","6","40","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019964,"445"
"2018500303482","298368","86801",-3.439623,50.671961,"50","3","2","2",08/06/2018,"6",16:00:00,"580",E10000008,"3","376","6","40","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019964,"445"
"2018500320637","298401","86656",-3.439116,50.670664,"50","3","3","2",09/07/2018,"2",14:27:00,"580",E10000008,"3","376","6","30","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019964,"445"
"2018500326857","298247","87047",-3.441402,50.674152,"50","3","2","1",24/08/2018,"6",10:30:00,"580",E10000008,"3","376","6","30","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019964,"445"
"2018500327819","298716","85965",-3.434471,50.664506,"50","3","2","2",28/06/2018,"5",16:22:00,"580",E10000008,"3","376","6","40","3","4","6","0","0","0","1","1","1","0","0","2","1",E01019964,"445"
"2018500801160","298201","86360",-3.441864,50.667968,"50","3","2","1",21/10/2018,"1",15:16:00,"580",E10000008,"6","0","6","30","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019964,"445"
"2018500803312","301033","84907",-3.401414,50.655394,"50","3","2","1",04/12/2018,"3",14:25:00,"580",E10000008,"6","0","6","30","0","-1","-1","0","0","0","1","1","2","0","0","2","1",E01019964,"445"
"2018500265835","302203","84545",-3.384772,50.652337,"50","2","2","2",13/01/2018,"7",09:38:00,"580",E10000008,"6","0","6","40","3","4","4","3180","0","0","1","1","2","0","0","2","1",E01019964,"446"
"2018500274660","301131","84047",-3.399798,50.647679,"50","3","2","1",24/02/2018,"7",14:30:00,"580",E10000008,"6","0","6","30","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019964,"446"
